N,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
1,1.0,"I.E. Nº 5116 ""DIVINO CREADOR""",1ro,2.0,2.0,47.0,47.0,18,20,17,17,8,6,9,3,16,16,8,9,13,7,12,0,0,0,0,0,2.0,2.0,1.0,0.0,36%,23%,24%,0%,8.0
2,1.0,"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""",1ro,3.0,3.0,103.0,98.0,95,98,96,61,51,64,62,62,29,59,54,37,39,57,54,0,0,0,0,0,3.0,4.0,2.0,0.0,77%,58%,45%,0%,17.0
3,1.0,"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA",1ro,3.0,3.0,134.0,134.0,97,94,56,41,33,47,50,36,27,54,43,29,42,69,18,0,0,0,0,0,2.0,2.0,1.0,0.0,51%,35%,24%,0%,10.0
4,1.0,"I.E. Nº 5125 ""CASUARINAS""",1ro,4.0,4.0,135.0,132.0,122,119,112,74,40,56,62,79,27,88,75,68,66,76,50,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,56%,42%,0%,16.0
5,1.0,"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """,1ro,5.0,5.0,140.0,133.0,104,100,105,81,52,65,70,69,30,65,35,26,44,53,36,0,0,0,0,0,3.0,3.0,1.0,0.0,69%,49%,38%,0%,11.0
6,1.0,"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""",1ro,4.0,4.0,124.0,110.0,97,94,98,64,26,48,56,79,28,83,53,55,63,68,65,0,0,0,0,0,3.0,4.0,2.0,0.0,71%,56%,53%,0%,17.0
7,1.0,"I.E. Nº 5130- ""PACHACÚTEC""",1ro,5.0,5.0,151.0,144.0,128,119,104,81,56,64,74,78,51,89,74,66,73,63,55,0,0,0,0,0,3.0,4.0,2.0,0.0,71%,51%,45%,0%,15.0
8,1.0,I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ,1ro,2.0,2.0,64.0,90.0,29,40,26,30,7,24,15,23,10,31,21,16,29,16,23,0,0,0,0,0,2.0,2.0,1.0,0.0,32%,23%,24%,0%,8.0
9,1.0,I.E. 5141,1ro,3.0,3.0,121.0,121.0,76,66,61,40,41,43,38,45,32,66,21,48,61,55,51,0,0,0,0,0,2.0,3.0,1.0,0.0,49%,43%,42%,0%,13.0
10,1.0,I.E. Nº  5147,1ro,2.0,2.0,47.0,43.0,32,32,28,9,5,14,10,6,12,31,12,12,15,7,9,0,0,0,0,0,2.0,3.0,1.0,0.0,48%,36%,25%,0%,10.0
11,1.0,IE Nº 5148 - LAS BRISAS DE PACHACÚTEC,1ro,1.0,1.0,28.0,27.0,26,27,22,15,8,13,10,15,6,19,11,5,12,18,11,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,51%,41%,0%,15.0
12,1.0,I.E. N° 5154,1ro,1.0,1.0,34.0,30.0,24,21,27,7,5,10,10,12,9,13,12,7,5,10,8,0,0,0,0,0,2.0,3.0,1.0,0.0,52%,40%,28%,0%,11.0
13,1.0,I.E. FE Y ALEGRIA 59,1ro,2.0,2.0,68.0,68.0,65,59,65,58,45,39,58,44,42,50,37,15,33,42,43,0,0,0,0,0,4.0,4.0,3.0,0.0,88%,62%,38%,0%,19.0
14,1.0,I.E. SAN JUAN MACIAS,1ro,2.0,2.0,57.0,57.0,57,51,52,39,9,20,17,29,14,34,26,18,31,28,49,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,46%,54%,0%,16.0
15,1.0,IE Nº 5142  - VIRGEN DE GUADALUPE,1ro,3.0,3.0,85.0,87.0,76,54,65,46,40,42,45,48,36,51,43,37,54,50,51,0,0,0,0,0,2.0,3.0,1.0,0.0,44%,37%,34%,0%,11.0
16,2.0,"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""",1ro,5.0,5.0,154.0,143.0,102,102,88,61,54,51,61,55,31,78,57,67,76,59,58,0,0,0,0,0,2.0,4.0,2.0,0.0,63%,51%,44%,0%,15.0
17,2.0,"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""",1ro,5.0,5.0,154.0,153.0,105,101,106,95,62,83,94,102,79,114,84,83,96,97,71,0,0,0,0,0,3.0,4.0,2.0,0.0,64%,59%,57%,0%,18.0
18,2.0,"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""",1ro,2.0,2.0,67.0,51.0,49,41,21,15,11,16,21,21,9,27,19,14,18,24,16,0,0,0,0,0,3.0,3.0,1.0,0.0,60%,37%,32%,0%,12.0
19,2.0,"I.E. Nº 5145 ""BALNEARIO""",1ro,2.0,2.0,77.0,72.0,42,47,50,46,34,21,35,34,18,41,26,26,27,25,20,0,0,0,0,0,3.0,3.0,1.0,0.0,59%,45%,35%,0%,13.0
20,2.0,I.E. Nº 5146,1ro,2.0,1.0,53.0,47.0,33,25,25,10,12,13,13,15,9,25,10,24,20,19,19,0,0,0,0,0,2.0,3.0,2.0,0.0,43%,38%,37%,0%,12.0
21,2.0,I.E. N° 5152,1ro,2.0,0.0,45.0,40.0,39,36,29,18,9,18,25,6,2,26,27,12,14,20,17,0,0,0,0,0,3.0,4.0,1.0,0.0,74%,51%,25%,0%,13.0
22,2.0,"I.E. ""FE Y ALEGRIA"" Nº 76",1ro,2.0,2.0,66.0,64.0,59,53,49,32,9,26,32,37,25,46,31,18,45,52,36,0,0,0,0,0,3.0,4.0,2.0,0.0,69%,52%,56%,0%,17.0
23,2.0,I.E. COPRODELI SAN FRANCISCO SOLANO,1ro,2.0,0.0,56.0,56.0,49,50,49,41,29,37,37,33,27,41,31,24,26,28,23,0,0,0,0,0,2.0,3.0,1.0,0.0,50%,38%,30%,0%,11.0
24,2.0,I.E. COPRODELI SAN MARTIN,1ro,1.0,1.0,34.0,34.0,34,31,33,30,14,23,24,32,22,31,21,13,32,29,6,0,0,0,0,0,4.0,5.0,3.0,0.0,88%,69%,68%,0%,21.0
25,2.0,I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO,1ro,2.0,2.0,60.0,52.0,38,43,42,31,31,28,19,27,16,30,25,25,23,18,24,0,0,0,0,0,3.0,4.0,2.0,0.0,63%,54%,44%,0%,16.0
26,2.0,I.E. N° 5156 ELIAS AGUIRRE,1ro,2.0,2.0,50.0,49.0,47,40,39,21,26,22,25,24,22,24,24,31,26,30,26,0,0,0,0,0,3.0,4.0,3.0,0.0,69%,58%,51%,0%,17.0
27,3.0,IE N° 5087,1ro,2.0,2.0,58.0,58.0,46,53,54,30,20,38,18,33,33,21,20,30,24,14,25,0,0,0,0,0,3.0,4.0,3.0,0.0,63%,48%,51%,0%,15.0
28,3.0,IE N° 5120,1ro,2.0,2.0,57.0,57.0,54,50,52,39,5,7,9,17,14,27,10,9,6,2,3,0,0,0,0,0,3.0,2.0,1.0,0.0,67%,28%,18%,0%,9.0
29,3.0,FE Y ALEGRIA N°43,1ro,4.0,4.0,108.0,103.0,90,84,87,56,31,25,40,36,20,42,29,23,36,39,29,0,0,0,0,0,3.0,3.0,1.0,0.0,66%,39%,30%,0%,12.0
30,3.0, IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA,1ro,3.0,3.0,77.0,64.0,63,63,64,59,44,51,53,53,35,59,53,27,49,57,51,0,0,0,0,0,4.0,6.0,3.0,0.0,93%,79%,73%,0%,24.0
31,3.0,ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA,1ro,2.0,2.0,48.0,43.0,42,33,32,27,24,17,17,29,22,37,18,18,19,27,23,0,0,0,0,0,3.0,4.0,3.0,0.0,70%,58%,55%,0%,18.0
32,3.0,IEN°5094 NACIONES UNIDAS,1ro,4.0,4.0,93.0,89.0,63,51,72,28,24,32,30,33,15,52,30,26,46,37,34,0,0,0,0,0,2.0,3.0,2.0,0.0,49%,44%,37%,0%,13.0
33,3.0,IEN° 5123 FRANCISCO BOLOGNESI,1ro,2.0,2.0,71.0,70.0,57,64,62,39,17,37,40,46,27,49,41,25,47,55,35,0,0,0,0,0,3.0,4.0,2.0,0.0,71%,58%,55%,0%,18.0
34,3.0,IE N° 3089  LOS ANGELES,1ro,4.0,4.0,103.0,96.0,89,86,73,53,22,27,23,38,26,63,38,25,46,37,38,0,0,0,0,0,3.0,3.0,2.0,0.0,66%,42%,39%,0%,13.0
35,3.0,IE N° 5077 FAUSTINO SANCHEZ CARRION,1ro,4.0,4.0,113.0,112.0,58,107,104,93,91,86,92,85,8,94,88,92,86,74,86,0,0,0,0,0,4.0,6.0,3.0,0.0,84%,78%,58%,0%,21.0
36,3.0,IE 5121 PEDRO PLANA SILVA,1ro,3.0,3.0,73.0,67.0,49,54,48,38,26,21,30,29,20,35,30,23,35,39,23,0,0,0,0,0,2.0,2.0,1.0,0.0,43%,32%,28%,0%,9.0
37,4.0,IE N° 5098 KUMAMOTO,1ro,2.0,2.0,75.0,72.0,59,61,61,29,17,13,26,29,21,43,21,22,26,37,29,0,0,0,0,0,3.0,3.0,1.0,0.0,60%,42%,37%,0%,13.0
38,4.0,IE N° 5119 VILLA EMILIA,1ro,3.0,3.0,94.0,85.0,66,71,63,50,32,22,43,44,19,51,25,28,38,29,37,0,0,0,0,0,3.0,2.0,2.0,0.0,68%,29%,41%,0%,13.0
39,4.0,IE N° 5130-2 VILLA DEL MAR,1ro,1.0,1.0,20.0,19.0,17,19,17,14,12,15,16,19,16,16,10,14,13,9,10,0,0,0,0,0,3.0,5.0,3.0,0.0,87%,70%,76%,0%,22.0
40,4.0,IE N° 5130-4 CHAVINILLO,1ro,3.0,3.0,65.0,63.0,58,55,55,46,21,27,33,41,21,40,34,19,36,36,31,0,0,0,0,0,3.0,4.0,2.0,0.0,77%,53%,52%,0%,17.0
41,4.0,IE N° 5135 LA SALLE,1ro,2.0,2.0,56.0,53.0,46,37,48,34,20,25,34,28,15,38,27,11,26,34,21,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,55%,44%,0%,7.0
42,4.0,IE FE Y ALEGRIA N° 33,1ro,5.0,5.0,151.0,134.0,108,95,101,62,48,50,62,69,32,94,67,40,75,85,77,0,0,0,0,0,3.0,4.0,2.0,0.0,61%,52%,47%,0%,15.0
43,4.0,IE MANUEL SEOANE C.,1ro,7.0,0.0,261.0,241.0,186,193,169,144,88,97,108,106,79,123,95,81,84,85,86,0,0,0,0,0,3.0,3.0,1.0,0.0,65%,44%,36%,0%,13.0
44,5.0,"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""",1ro,2.0,2.0,69.0,64.0,61,64,57,54,15,41,45,26,10,40,27,14,29,34,41,0,0,0,0,0,4.0,4.0,2.0,0.0,88%,51%,42%,0%,16.0
45,5.0,"I.E. N° 5051 ""VIRGEN DE FATIMA""",1ro,4.0,4.0,130.0,125.0,101,93,102,64,36,43,70,67,39,83,72,32,57,77,70,0,0,0,0,0,3.0,4.0,2.0,0.0,66%,51%,47%,0%,15.0
46,5.0,"I.E. N° 5052 ""VIRGEN DE LA MERCED """,1ro,4.0,4.0,120.0,104.0,85,77,86,63,41,34,40,53,36,69,42,34,50,52,51,0,0,0,0,0,3.0,3.0,2.0,0.0,63%,48%,45%,0%,15.0
47,5.0,"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""",1ro,7.0,7.0,215.0,200.0,92,90,86,63,39,43,52,55,51,77,44,68,54,67,62,0,0,0,0,0,1.0,2.0,1.0,0.0,38%,31%,28%,0%,9.0
48,5.0,I.E. N° 5096,1ro,3.0,3.0,103.0,94.0,91,85,85,59,48,43,67,54,46,68,59,45,46,57,53,0,0,0,0,0,3.0,4.0,2.0,0.0,80%,62%,51%,0%,18.0
49,5.0,I.E. N° 5137,1ro,2.0,2.0,50.0,65.0,42,34,28,13,13,10,11,18,8,25,12,24,24,11,9,0,0,0,0,0,1.0,2.0,1.0,0.0,29%,21%,17%,0%,6.0
50,5.0,I.E. NUESTRA SEÑORA DE BELÉN,1ro,3.0,3.0,83.0,80.0,56,43,30,27,15,29,18,30,20,26,19,23,19,25,13,0,0,0,0,0,2.0,2.0,1.0,0.0,45%,30%,26%,0%,9.0
51,5.0,I.E. FE Y ALEGRÍA 29,1ro,3.0,3.0,94.0,82.0,65,71,68,49,25,30,49,46,45,59,45,44,50,51,34,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,56%,54%,0%,17.0
52,6.0,I.E. Nº 4021,1ro,3.0,3.0,104.0,89.0,70,67,71,57,33,45,34,39,32,38,38,28,42,33,25,0,0,0,0,0,3.0,3.0,2.0,0.0,65%,46%,38%,0%,14.0
53,6.0,"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""",1ro,2.0,2.0,58.0,59.0,40,40,35,30,11,13,19,29,5,28,25,15,21,24,33,0,0,0,0,0,3.0,3.0,2.0,0.0,55%,37%,38%,0%,12.0
54,6.0,"I.E. Nº 5093 ""ANTONIO RAYMONDI""",1ro,4.0,4.0,124.0,134.0,47,34,25,38,26,36,33,32,30,37,15,30,42,21,31,0,0,0,0,0,1.0,1.0,1.0,0.0,28%,13%,25%,0%,7.0
55,7.0,"I.E N° 5088 ""HÉROES DELPACÍFICO""",1ro,4.0,4.0,129.0,108.0,97,102,98,62,40,43,51,58,41,71,62,48,66,45,51,0,0,0,0,0,3.0,4.0,2.0,0.0,72%,54%,50%,0%,16.0
56,7.0,"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""",1ro,3.0,3.0,64.0,60.0,56,57,47,35,28,33,36,33,28,49,36,23,50,46,45,0,0,0,0,0,3.0,4.0,3.0,0.0,75%,61%,63%,0%,19.0
57,7.0,IE 5091 HIJOS DE GRAU,1ro,2.0,2.0,64.0,63.0,41,48,52,36,36,25,32,35,31,44,35,26,20,39,37,0,0,0,0,0,3.0,4.0,2.0,0.0,64%,60%,49%,0%,17.0
58,7.0,IE N 5086 POLITECNICO DE VENTANILLA,1ro,4.0,4.0,150.0,148.0,97,90,88,73,38,52,58,72,35,80,66,35,62,68,62,0,0,0,0,0,3.0,4.0,2.0,0.0,74%,57%,54%,0%,17.0
59,7.0,IE N° 5130-1,1ro,3.0,3.0,96.0,84.0,80,77,75,53,23,41,44,48,37,54,51,25,42,48,35,0,0,0,0,0,3.0,4.0,2.0,0.0,76%,54%,48%,0%,16.0
60,7.0,IE. N° 5130-3 VRHT,1ro,2.0,1.0,55.0,68.0,38,32,46,26,20,29,31,33,30,34,21,19,19,31,25,0,0,0,0,0,1.0,2.0,2.0,0.0,32%,35%,39%,0%,11.0
61,7.0,IE.5118 CMDTE JUAN VALER SANDOVAL,1ro,4.0,4.0,123.0,111.0,107,107,108,67,35,39,50,58,23,68,51,59,59,63,61,0,0,0,0,0,3.0,4.0,2.0,0.0,74%,54%,43%,0%,16.0
